id,nome_startup,setor,status,score_global,score_performance_viabilidade,data_cadastro
1,AlphaTech,Agri-IoT,Ativa,3.9,3.8,2026-01-16 12:55:09
2,BetaSolutions,Water-Ops,Ativa,4.1,4.1,2026-01-16 12:55:09
3,GammaSystems,SmartCity,Inativa,2.025,2.1,2026-01-16 12:55:09
4,DeltaDevices,Enviro-Tech,Ativa,3.8,3.7,2026-01-16 12:55:09
5,EpsilonEnergy,Power-Grid,Ativa,4.0,3.8,2026-01-16 12:55:09
6,ZetaSensors,Agri-IoT,Inativa,2.025,1.6,2026-01-16 12:55:09
7,EtaFlow,Water-Ops,Ativa,4.025,3.9,2026-01-16 12:55:09
8,ThetaLight,SmartCity,Ativa,3.9,4.1,2026-01-16 12:55:09
9,IotaWaste,Enviro-Tech,Ativa,3.975,4.0,2026-01-16 12:55:09
10,KappaPower,Power-Grid,Inativa,1.925,1.9,2026-01-16 12:55:09
11,LambdaCrops,Agri-IoT,Ativa,3.9,3.7,2026-01-16 12:55:09
12,MuAqua,Water-Ops,Ativa,3.775,4.1,2026-01-16 12:55:09
13,NuTraffic,SmartCity,Inativa,1.875,1.8,2026-01-16 12:55:09
14,XiSense,Enviro-Tech,Ativa,4.0,4.0,2026-01-16 12:55:09
15,OmicronWind,Power-Grid,Ativa,4.05,4.0,2026-01-16 12:55:09
16,PiTracking,Agri-IoT,Ativa,3.875,4.0,2026-01-16 12:55:09
17,RhoIrrigation,Water-Ops,Ativa,4.0,3.9000000000000004,2026-01-16 12:55:09
18,SigmaParking,SmartCity,Inativa,1.725,1.8,2026-01-16 12:55:09
19,TauAir,Enviro-Tech,Ativa,3.925,4.1,2026-01-16 12:55:09
20,UpsilonBatt,Power-Grid,Ativa,4.025,3.8,2026-01-16 12:55:09
21,PhiFarm,Agri-IoT,Inativa,2.05,1.9,2026-01-16 12:55:09
22,ChiLeak,Water-Ops,Ativa,3.975,4.6,2026-01-16 12:55:09
23,PsiNoise,SmartCity,Ativa,3.975,4.0,2026-01-16 12:55:09
24,OmegaCarbon,Enviro-Tech,Inativa,2.125,2.3,2026-01-16 12:55:09
25,AlephVolt,Power-Grid,Ativa,3.875,3.5999999999999996,2026-01-16 12:55:09
26,BethGrain,Agri-IoT,Ativa,4.05,4.300000000000001,2026-01-16 12:55:09
27,GimelFlow,Water-Ops,Inativa,2.2,2.1,2026-01-16 12:55:09
28,DaletSafe,SmartCity,Ativa,3.875,4.2,2026-01-16 12:55:09
29,HeOcean,Enviro-Tech,Ativa,3.825,3.7,2026-01-16 12:55:09
30,VavSun,Power-Grid,Ativa,4.1,4.199999999999999,2026-01-16 12:55:09
31,ZayinSoil,Agri-IoT,Ativa,4.075,4.6,2026-01-16 12:55:09
32,HetPure,Water-Ops,Inativa,2.125,2.3,2026-01-16 12:55:09
33,TetConnect,SmartCity,Ativa,4.075,3.9,2026-01-16 12:55:09
34,YodBio,Enviro-Tech,Ativa,4.1,4.300000000000001,2026-01-16 12:55:09
35,KafGrid,Power-Grid,Inativa,1.925,1.8,2026-01-16 12:55:09
36,LamedDrone,Agri-IoT,Ativa,3.875,3.9,2026-01-16 12:55:09
37,MemRain,Water-Ops,Ativa,4.025,4.2,2026-01-16 12:55:09
38,NunBin,SmartCity,Inativa,2.125,2.2,2026-01-16 12:55:09
39,SamekForest,Enviro-Tech,Ativa,3.875,3.9000000000000004,2026-01-16 12:55:09
40,AyinWatt,Power-Grid,Ativa,4.125,4.2,2026-01-16 12:55:09
41,PeCollar,Agri-IoT,Ativa,4.175,4.300000000000001,2026-01-16 12:55:09
42,TsadiHydro,Water-Ops,Ativa,3.85,3.8000000000000003,2026-01-16 12:55:09
43,QofCross,SmartCity,Inativa,2.1,2.4000000000000004,2026-01-16 12:55:09
44,ReshPollution,Enviro-Tech,Ativa,3.95,3.6,2026-01-16 12:55:09
45,ShinEnergy,Power-Grid,Ativa,4.025,3.7,2026-01-16 12:55:09
