id,nome_startup,setor,status,score_global,score_performance_viabilidade,performance_tecnica,viabilidade_economica,confiabilidade,usabilidade,eficiencia_energetica,robustez_fisica,conectividade,sustentabilidade
25,AlephVolt,Power-Grid,Ativa,3.875,3.5999999999999996,3.8,3.4,4.2,4.0,4.0,4.4,3.6,3.6
1,AlphaTech,Agri-IoT,Ativa,3.9,3.8,4.0,3.6,4.0,4.2,4.4,3.4,3.8,3.8
40,AyinWatt,Power-Grid,Ativa,4.125,4.2,4.2,4.2,4.0,4.2,3.8,4.6,4.2,3.8
2,BetaSolutions,Water-Ops,Ativa,4.1,4.1,4.2,4.0,4.2,4.6,4.4,4.2,3.6,3.6
26,BethGrain,Agri-IoT,Ativa,4.05,4.300000000000001,4.2,4.4,4.2,4.6,3.8,3.2,3.6,4.4
22,ChiLeak,Water-Ops,Ativa,3.975,4.6,4.8,4.4,3.8,3.4,4.2,3.4,4.2,3.6
28,DaletSafe,SmartCity,Ativa,3.875,4.2,4.2,4.2,4.0,3.4,4.0,3.2,3.8,4.2
4,DeltaDevices,Enviro-Tech,Ativa,3.8,3.7,3.8,3.6,3.2,4.4,3.6,4.4,3.6,3.8
5,EpsilonEnergy,Power-Grid,Ativa,4.0,3.8,3.8,3.8,3.6,4.4,5.0,4.0,3.4,4.0
7,EtaFlow,Water-Ops,Ativa,4.025,3.9,4.0,3.8,4.2,4.2,4.0,4.0,4.2,3.8
3,GammaSystems,SmartCity,Inativa,2.025,2.1,2.2,2.0,2.6,1.8,1.8,2.2,1.6,2.0
27,GimelFlow,Water-Ops,Inativa,2.2,2.1,2.2,2.0,2.4,3.0,1.6,2.0,2.4,2.0
29,HeOcean,Enviro-Tech,Ativa,3.825,3.7,3.8,3.6,4.0,4.4,3.6,3.8,3.8,3.6
32,HetPure,Water-Ops,Inativa,2.125,2.3,2.2,2.4,1.2,2.0,2.0,2.8,2.2,2.2
9,IotaWaste,Enviro-Tech,Ativa,3.975,4.0,4.2,3.8,4.2,3.8,4.0,4.0,4.2,3.6
35,KafGrid,Power-Grid,Inativa,1.925,1.8,2.2,1.4,2.0,2.4,1.6,1.8,2.2,1.8
10,KappaPower,Power-Grid,Inativa,1.925,1.9,2.0,1.8,2.2,2.0,1.8,2.0,2.0,1.6
11,LambdaCrops,Agri-IoT,Ativa,3.9,3.7,4.0,3.4,3.4,4.4,3.8,4.2,4.2,3.8
36,LamedDrone,Agri-IoT,Ativa,3.875,3.9,3.8,4.0,4.2,4.0,3.4,3.6,4.2,3.8
37,MemRain,Water-Ops,Ativa,4.025,4.2,4.4,4.0,3.6,3.8,3.6,4.0,4.0,4.8
12,MuAqua,Water-Ops,Ativa,3.775,4.1,4.0,4.2,3.8,3.4,3.2,4.2,4.4,3.0
13,NuTraffic,SmartCity,Inativa,1.875,1.8,1.8,1.8,2.2,2.0,1.4,1.8,2.4,1.6
38,NunBin,SmartCity,Inativa,2.125,2.2,2.6,1.8,1.8,2.0,2.0,2.0,2.2,2.6
24,OmegaCarbon,Enviro-Tech,Inativa,2.125,2.3,2.0,2.6,2.0,2.2,1.6,2.0,2.2,2.4
15,OmicronWind,Power-Grid,Ativa,4.05,4.0,4.2,3.8,4.0,4.4,3.6,4.0,4.0,4.4
41,PeCollar,Agri-IoT,Ativa,4.175,4.300000000000001,4.2,4.4,3.6,4.2,4.4,4.4,4.0,4.2
21,PhiFarm,Agri-IoT,Inativa,2.05,1.9,1.4,2.4,2.0,1.6,2.0,2.2,2.2,2.6
16,PiTracking,Agri-IoT,Ativa,3.875,4.0,4.0,4.0,4.4,4.0,4.0,3.2,3.4,4.0
23,PsiNoise,SmartCity,Ativa,3.975,4.0,4.0,4.0,4.0,3.8,4.0,4.2,3.6,4.2
43,QofCross,SmartCity,Inativa,2.1,2.4000000000000004,2.2,2.6,2.2,2.4,1.6,2.2,1.6,2.0
44,ReshPollution,Enviro-Tech,Ativa,3.95,3.6,3.6,3.6,4.0,4.2,4.2,4.0,4.0,4.0
17,RhoIrrigation,Water-Ops,Ativa,4.0,3.9000000000000004,3.6,4.2,4.2,4.6,4.0,3.6,4.0,3.8
39,SamekForest,Enviro-Tech,Ativa,3.875,3.9000000000000004,4.4,3.4,4.0,3.4,4.0,3.8,4.4,3.6
45,ShinEnergy,Power-Grid,Ativa,4.025,3.7,3.6,3.8,4.2,4.2,4.2,3.8,4.2,4.2
18,SigmaParking,SmartCity,Inativa,1.725,1.8,2.0,1.6,1.8,1.6,1.2,2.2,1.6,1.8
19,TauAir,Enviro-Tech,Ativa,3.925,4.1,4.8,3.4,3.8,3.4,4.2,3.8,4.0,4.0
33,TetConnect,SmartCity,Ativa,4.075,3.9,3.8,4.0,3.4,4.2,4.6,4.6,4.0,4.0
8,ThetaLight,SmartCity,Ativa,3.9,4.1,3.8,4.4,3.4,3.6,4.0,4.0,4.0,4.0
42,TsadiHydro,Water-Ops,Ativa,3.85,3.8000000000000003,3.2,4.4,3.4,3.4,4.2,4.2,4.2,3.8
20,UpsilonBatt,Power-Grid,Ativa,4.025,3.8,4.0,3.6,4.0,3.6,4.2,4.4,4.8,3.6
30,VavSun,Power-Grid,Ativa,4.1,4.199999999999999,3.8,4.6,4.0,4.0,3.8,4.4,3.8,4.4
14,XiSense,Enviro-Tech,Ativa,4.0,4.0,4.2,3.8,3.8,3.2,4.2,4.6,4.2,4.0
34,YodBio,Enviro-Tech,Ativa,4.1,4.300000000000001,4.4,4.2,4.4,3.8,3.6,4.4,4.4,3.6
31,ZayinSoil,Agri-IoT,Ativa,4.075,4.6,4.8,4.4,3.8,4.2,4.0,3.2,3.8,4.4
6,ZetaSensors,Agri-IoT,Inativa,2.025,1.6,1.4,1.8,3.0,1.8,1.8,1.8,2.0,2.6
